"Song Name" "Zero Crossing Rate Variance" "Spectral Centroid Mean" "Spectral Centroid Variance" "Spectral Rolloff Mean" "Spectral Rolloff Variance" "Root Mean Square Mean" "File Path" Category "Table Number"
"Play It Again" 0.003692654376547304 2298.2889772619487 809816.5980013958 4832.819243693664 3404360.006521041 0.123132825 media/country/Luke_Bryan___Play_It_Again__Official_Music_Video_.mp3 country 10
"This Bar" 0.0020012428640295214 1834.477569527434 506211.25530510827 3827.933713304185 2738054.025616841 0.28124043 media/country/Morgan_Wallen___This_Bar__Lyric_Video_.mp3 country 10
"Travelin' Soldier" 0.003310535380203247 2196.311476674208 614672.3499605748 4662.342387868921 2762819.9606184475 0.16671789 media/country/Travelin__Soldier.mp3 country 10
"Rainy Day" 0.002103014515030873 1761.803314127415 642653.5565648928 3692.826403601695 3079669.400820339 0.19526652 media/country/Travis_Collins___Rainy_Day__Official_Video_.mp3 country 10
"Queens Don't" 0.0027629211870343613 2305.248226468796 580550.5915933778 4956.84078234913 2512385.1028157873 0.23886007 media/country/Raelynn___Queens_Dont_Audio_Video.mp3 country 10
Cruise 0.0036482649752868353 2615.585363203127 545723.8022593792 5308.174382145737 1808490.0017840245 0.26105478 media/country/Cruise.mp3 country 10
"Country Girl (Shake It For Me)" 0.003335187776976049 2603.7551031193443 605473.6928168338 5703.630713407989 2515157.14059119 0.2626419 media/country/Luke_Bryan___Country_Girl__Shake_It_For_Me_____Audio_Only_.mp3 country 10
"Chicken Fried" 0.0035616473533331386 2111.4538063010827 873827.0700005132 4367.105808723537 3809871.6002469044 0.25607437 media/country/Chicken_Fried__Greatest_Hits_Version_.mp3 country 10
"Tim McGraw" 0.006143185147655241 2384.66666372215 1241097.6992673732 5114.616297623339 4593912.692374822 0.09366025 media/country/Taylor_Swift___Tim_McGraw.mp3 country 10
"Marry Me" 0.0036681296731360473 1906.9618215441274 1009563.8818309914 4087.426306294214 4996737.462845375 0.11221495 media/country/Thomas_Rhett___Marry_Me__Lyric_Video_.mp3 country 10
"Sleep on My Side" 0.002269031993855416 2105.745272841322 582159.0356594152 4502.511476225408 3152348.136174608 0.27368468 media/country/Megan_Moroney___Sleep_on_My_Side__Lyric_Video_.mp3 country 10
"Blown Away" 0.008706388999425064 2726.0343172301214 896918.6439732236 6030.452984267714 2918659.279309147 0.18389767 media/country/Carrie_Underwood___Blown_Away.mp3 country 10
"Before He Cheats" 0.0043578056722404284 2769.403781002758 740527.0681484237 6063.394463448986 3201170.842641093 0.2775298 media/country/Before_He_Cheats.mp3 country 10
"Need You Now" 0.0029101393631807597 1883.4419163117307 739601.3110842281 3948.680617501176 3621577.159911207 0.21442083 media/country/Need_You_Now.mp3 country 10
"Half Of Me" 0.0038970171274727823 2464.9436911754296 769085.5496668555 5205.03458098968 3236669.7164329356 0.2427305 media/country/Thomas_Rhett___Half_Of_Me__Lyric_Video__ft._Riley_Green.mp3 country 10
"American Kids" 0.005803321581130282 2805.0685327218957 802230.3308486851 6157.77240334694 2688529.5111499145 0.18642119 media/country/Kenny_Chesney_American_Kids.mp3 country 10
"Slow Down Summer" 0.0038666367727747553 2653.8077648949957 846754.5536410916 5812.096352976276 3615338.417623828 0.22083704 media/country/Thomas_Rhett___Slow_Down_Summer__Lyric_Video_.mp3 country 10
"Fast Car" 0.0028959488416999846 2169.733372108302 903178.5650459311 4506.437840375443 4128403.6845892384 0.23580678 media/country/Luke_Combs___Fast_Car__Lyrics_.mp3 country 10
"When It Rains It Pours" 0.0041875376507736406 2075.875339753812 728241.5010086428 4325.553142462416 3181910.902099655 0.19744506 media/country/Luke_Combs___When_It_Rains_It_Pours__Official_Video_.mp3 country 10
"Drink A Beer" 0.004262781635297159 1729.9907761125928 826733.4211399943 3473.4300221967387 3456061.4935116027 0.19699985 media/country/Drink_A_Beer.mp3 country 10
"Take Me Home, Country Roads" 0.00170706589728369 2094.270953722542 427792.52171281894 4196.666567116055 1972946.9809442416 0.12584816 media/country/John_Denver___Take_Me_Home__Country_Roads__Official_Audio_.mp3 country 10
"House Party" 0.0069055058928939985 2743.733999425028 731992.3673450961 5786.518542089016 2269662.7723667393 0.19833714 media/country/Sam_Hunt___House_Party_with_Lyrics.mp3 country 10
"Dicked Down in Dallas" 0.0026219181618010365 2322.352340810447 455739.8514903518 4832.612452207896 2199786.9138668277 0.2426723 media/country/Trey_Lewis___Dicked_Down_In_Dallas__Official_Audio_.mp3 country 10
"Rain Is A Good Thing" 0.0030231736874212047 2181.534164820526 648979.1390515213 4526.967998823573 3009837.5877791806 0.22459507 media/country/Luke_Bryan___Rain_Is_A_Good_Thing__Official_Music_Video_.mp3 country 10
"Good Girl" 0.004195587907821752 2866.7095834388783 598102.339019312 6195.994701974466 2149695.3260001433 0.250964 media/country/Good_Girl___Carrie_Underwood__AUDIO_.mp3 country 10
"I Hope" 0.0053758315555178324 2800.623377785433 1185673.7680189589 6212.189656026373 5278816.862193854 0.19427428 media/country/Gabby_Barrett___I_Hope__Official_Audio_.mp3 country 10
"All-American Girl" 0.004823886475191133 2809.0640840930882 773551.8877675993 6182.597822964543 2763910.2613021294 0.3019596 media/country/All_American_Girl.mp3 country 10
"Crash and Burn" 0.0036054810067604063 2370.255961524866 659790.4517934662 4926.006438289039 2890340.1383133885 0.21838138 media/country/Thomas_Rhett___Crash_and_Burn__Lyric_Version_.mp3 country 10
"Life is a Highway" 0.001440575718379649 2420.5549251826496 245098.0323804389 5118.891288833248 1189408.5790738242 0.27398443 media/country/Rascal_Flatts___Life_is_a_Highway__Audio_.mp3 country 10
"Mama's Broken Heart" 0.0028550339266195297 2064.0548364759275 729237.8796642771 4403.18965894759 3359109.9230891303 0.18807425 media/country/Miranda_Lambert___Mama_s_Broken_Heart.mp3 country 10
"Country A$$ Shit" 0.0019973927511532552 2344.08712911972 374766.95263583394 4973.984638047138 2194080.922687667 0.28757793 media/country/Morgan_Wallen___Country_A___Shit__Official_Lyric_Video_.mp3 country 10
"Mary's Song (Oh My My My)" 0.0052372431039671135 2755.654194302598 809828.3864710878 5851.713062696654 2772835.872499028 0.22781643 media/country/Mary_s_Song__Oh_My_My_My_.mp3 country 10
"Beautiful Crazy" 0.003872416006368044 1817.9961089194105 830361.7658926088 3570.396179807591 3326851.5289350916 0.17504339 media/country/Luke_Combs___Beautiful_Crazy__Lyrics_.mp3 country 10
Unforgettable 0.004219269426904783 2665.8349678083805 785879.6320517907 5767.364410481101 2829911.3904511402 0.23089662 media/country/Thomas_Rhett___Unforgettable__Lyric_Video_.mp3 country 10
